ID,Name,Age,Gender,Income,Signup_Date,Purchase_Amount,City,Membership,Preferred_Channel
172,Bob,,F,,"Jan 12, 2023",385,chicago,Gold,Mobile
685,,126,,33443,02/10/2022,244,Los Angeles,,Mobile
123,FRANK,,female,,19/01/2018,478,chicago,,2
751,Charlie,-4,,38590,15/10/2018,11,NYC,Gold,Mobile
528,Alice,,f,49401,06/05/2018,428,Los Angeles,Platinum,Mobile
601,Charlie,41,Male,49710,"Sep 15, 2021",493,New York,P,1
115,alice,31,F,70512,29/04/2020,497,chicago,Gold,Mobile
2,Alice,61,f,66309,24/12/2018,7212,newyork,,2
197,Charlie,21,female,70K,18/07/2022,$120,newyork,,2
407,Bob,66,,70429,10/03/2023,20,NYC,P,Mobile
915,david,40,male,"30,000",03/03/2018,233,NYC,Gold,3
332,FRANK,57,,84463,"Apr 06, 2020",469,Los Angeles,G,Online
464,FRANK,133,F,34435,"Jun 28, 2019",7388,Chicago,Gold,2
184,,,male,33334,"Feb 22, 2018",147,New York,gold,Mobile
402,Alice,2,male,66833,21/08/2020,47,chicago,gold,In-Store
364,Charlie,,f,63741,23/10/2018,473,NYC,,2
68,alice,38,f,67250,12/02/2020,7438,Chicago,SILVER,3
678,FRANK,18,male,25681,"Jan 31, 2018",163,chicago,Silver,Online
369,FRANK,57,F,50k,08/07/2018,372,newyork,gold,1
943,alice,,male,76181,19/08/2018,370,newyork,gold,2
70,Bob,52,female,,30/04/2020,154,NYC,Silver,1
820,Charlie,39,female,98592,20/05/2021,423,New York,G,2
164,FRANK,,,75737,"Aug 19, 2020",£90,LA,Platinum,3
377,,22,female,59526,"Sep 06, 2021",61,losangeles,Platinum,Online
581,FRANK,65,,70K,30/09/2021,324,LA,gold,3
592,Eve,0,F,33621,14/03/2022,5405,Chicago,gold,Mobile
32,david,132,f,85437,20/11/2020,8691,NYC,S,Mobile
427,Bob,,,70K,20/10/2018,277,chicago,,In-Store
420,Alice,-9,F,30009,03/03/2022,1246,NYC,SILVER,2
709,Charlie,47,M,39482,02/08/2019,405,newyork,,2
760,alice,,,50k,29/05/2019,,NYC,S,2
905,,,Male,39369,"Sep 09, 2019",230,chicago,,1
788,Bob,67,M,78549,"Aug 04, 2020",290,New York,Gold,Online
188,Eve,,,500000,"Sep 27, 2018",160,chicago,S,1
548,Eve,,male,95739,16/09/2021,,LA,G,Online
624,alice,38,F,56500,30/03/2023,203,LA,Platinum,3
972,david,29,,31855,26/06/2022,,Los Angeles,Silver,Online
276,Eve,68,f,36716,15/06/2022,7639,Chicago,G,1
635,alice,,F,70465,30/01/2018,208,New York,gold,Mobile
292,david,13,male,61853,07/09/2022,8522,newyork,gold,1
38,Bob,,F,1000000,23/10/2019,280,Los Angeles,Platinum,1
546,Charlie,74,F,-10000,"Sep 17, 2020",286,LA,Gold,In-Store
950,Bob,,,98871,16/11/2022,295,LA,SILVER,In-Store
496,alice,,female,70K,16/03/2019,,newyork,P,1
33,Charlie,70,Male,52231,22/01/2021,,newyork,G,Mobile
259,alice,78,M,74874,"Jul 27, 2019",2938,losangeles,G,Mobile
833,Bob,,male,,02/01/2023,£90,newyork,Gold,1
931,FRANK,,female,-10000,11/07/2022,8951,NYC,S,Online
292,FRANK,38,,,23/07/2020,2190,Chicago,Silver,Online
880,Bob,,male,-10000,"Dec 03, 2019",25,New York,P,1
240,Eve,64,M,,19/01/2020,421,newyork,Gold,Mobile
480,Eve,,f,70413,30/05/2023,8024,losangeles,P,In-Store
298,Charlie,120,Male,96148,20/06/2023,195,newyork,P,1
333,Charlie,1,F,89067,"Sep 04, 2018",$120,Los Angeles,SILVER,1
224,FRANK,39,,"30,000","Dec 13, 2019",8446,LA,S,Online
731,david,50,f,31436,07/02/2021,21,NYC,SILVER,In-Store
932,Bob,,,67409,14/06/2023,4878,newyork,SILVER,1
653,david,18,M,46644,12/04/2023,21,New York,P,3
519,Charlie,,M,67500,25/10/2021,77,LA,Gold,2
101,david,45,male,,"Feb 11, 2019",461,LA,,Online
549,alice,,F,500000,17/05/2022,242,chicago,G,Mobile
234,Alice,,F,27808,22/12/2020,9552,chicago,Silver,2
626,FRANK,61,f,67298,13/01/2020,4060,newyork,gold,2
476,FRANK,47,,58626,23/12/2020,17,Chicago,P,Online
25,alice,23,F,500000,25/07/2018,50,New York,gold,In-Store
176,Charlie,,,,26/10/2022,,Los Angeles,SILVER,Mobile
536,Bob,22,,51784,19/03/2022,399,newyork,Platinum,In-Store
696,Bob,94,f,49437,11/05/2023,7038,Chicago,gold,3
803,Eve,93,female,38061,25/07/2019,491,losangeles,S,Online
809,,-6,M,38753,28/04/2023,411,losangeles,Silver,2
978,alice,,M,23453,20/01/2023,€100,NYC,SILVER,Mobile
110,,18,female,68717,"Aug 16, 2020",271,Los Angeles,Platinum,In-Store
801,,66,Male,33894,2021-13-40,500,newyork,P,1
504,Bob,8,female,"30,000","May 30, 2019",245,chicago,Platinum,3
659,Charlie,17,,82498,11/02/2022,€100,Chicago,Platinum,1
628,FRANK,,Male,50k,20/04/2020,371,NYC,G,2
689,Bob,62,male,39252,12/08/2022,353,chicago,Platinum,2
580,alice,,male,38517,11/07/2022,259,LA,G,In-Store
157,alice,19,M,52118,23/11/2018,207,New York,Silver,3
546,FRANK,52,female,21635,01/02/2019,4029,newyork,S,2
516,Charlie,,f,70K,25/05/2018,59,LA,Platinum,1
266,Charlie,26,,43910,20/07/2019,,losangeles,Gold,Mobile
884,Charlie,61,female,-10000,10/09/2018,3370,losangeles,S,Mobile
208,,53,female,89133,"Oct 19, 2018",57,losangeles,Silver,Mobile
652,Alice,25,female,81628,23/01/2018,7599,NYC,Gold,1
956,Bob,142,,64215,09/12/2020,233,Chicago,G,1
369,Charlie,52,F,-10000,10/05/2021,100,New York,Platinum,In-Store
911,Eve,,F,57587,"Jun 16, 2020",82,newyork,gold,Mobile
305,Charlie,65,male,40432,13/01/2021,8823,NYC,,Online
183,Charlie,44,F,24209,"Dec 08, 2022",272,NYC,SILVER,2
289,FRANK,28,Male,50k,29/04/2023,2219,NYC,Gold,Mobile
359,david,57,female,,"Dec 31, 2022",$120,losangeles,G,3
200,FRANK,,F,21424,13/08/2020,379,NYC,S,In-Store
462,Eve,69,male,75524,30/11/2022,146,newyork,P,In-Store
64,Bob,130,F,70K,06/04/2019,63,Chicago,,3
814,Eve,59,Male,,"Feb 07, 2022",,Chicago,P,In-Store
122,david,7,M,94981,07/10/2022,358,LA,Gold,Mobile
45,Eve,,female,,27/05/2023,200,Chicago,Silver,In-Store
713,Charlie,114,F,49794,30/07/2021,$120,LA,Platinum,In-Store
966,Eve,,f,40552,"Jul 28, 2019",232,chicago,,Mobile
579,Bob,59,M,32050,"Aug 04, 2021",,Chicago,Platinum,2
714,Charlie,36,Male,,"Sep 09, 2022",11,Chicago,Gold,Online
967,Charlie,71,male,36401,20/06/2018,3318,newyork,S,Online
362,Charlie,,Male,72481,09/07/2022,442,Los Angeles,Gold,Mobile
287,FRANK,,f,50k,10/10/2020,264,chicago,Platinum,Online
171,Alice,,female,71418,"Sep 25, 2021",373,Chicago,Silver,1
909,Alice,83,male,93307,19/05/2022,1295,New York,Gold,3
459,Bob,45,Male,50k,12/09/2022,42,New York,Platinum,In-Store
99,Alice,38,,1000000,18/11/2022,7542,LA,Platinum,Mobile
435,Eve,101,f,73097,09/08/2018,483,LA,Silver,Online
639,david,,female,41603,29/08/2018,219,chicago,Platinum,3
737,,74,F,68690,09/10/2021,496,LA,Gold,Mobile
502,Alice,104,Male,70K,11/01/2022,245,New York,S,Mobile
295,alice,68,male,55378,03/06/2022,118,Los Angeles,Gold,In-Store
737,Eve,53,male,33683,20/03/2021,152,chicago,G,1
843,Eve,59,Male,67540,24/07/2022,$120,NYC,,2
345,alice,,F,70K,22/02/2018,,NYC,gold,Online
342,david,,M,51395,"Feb 19, 2018",480,New York,Platinum,Mobile
882,,,male,41333,01/03/2023,,chicago,SILVER,2
719,Eve,,male,,02/02/2022,6375,LA,Gold,Mobile
402,alice,,M,28561,"Jun 04, 2019",12,newyork,,Mobile
730,Bob,,f,98264,"Dec 06, 2019",55,NYC,gold,1
358,Alice,,female,60516,"May 25, 2019",£90,Chicago,Gold,Mobile
19,Charlie,,Male,92311,"Apr 08, 2018",9465,LA,Silver,2
657,alice,28,F,24242,"Jul 24, 2021",92,New York,Gold,Online
393,,,Male,55280,25/11/2018,377,New York,gold,1
634,alice,64,M,94727,"Nov 04, 2022",$120,Chicago,G,In-Store
672,alice,,female,50k,"Mar 23, 2022",79,Los Angeles,Gold,1
304,david,91,Male,70K,19/12/2018,47,Chicago,Silver,2
667,FRANK,,male,26297,"Nov 15, 2019",492,newyork,Gold,1
631,Charlie,,M,32217,24/02/2022,,Los Angeles,G,Online
752,FRANK,28,,21111,19/09/2019,13,losangeles,S,In-Store
275,FRANK,46,F,57015,05/07/2018,$120,Los Angeles,G,Mobile
637,FRANK,,F,85564,15/10/2020,412,LA,Gold,In-Store
18,,113,male,61218,"Feb 19, 2019",492,LA,SILVER,Mobile
560,Charlie,46,Male,66640,"Sep 21, 2020",,Chicago,S,1
487,FRANK,6,male,32763,"Jun 15, 2020",1966,LA,G,Online
316,Bob,41,female,73383,19/05/2023,69,chicago,Silver,In-Store
253,FRANK,,F,,17/08/2018,7091,New York,P,In-Store
617,david,82,F,85821,"Feb 05, 2023",322,newyork,S,In-Store
994,alice,48,f,23104,07/01/2021,442,NYC,P,3
364,Bob,20,Male,70K,25/11/2021,$120,Los Angeles,S,In-Store
873,Eve,,F,-10000,05/07/2018,2411,Chicago,Silver,2
29,alice,,,58026,"Oct 26, 2018",105,losangeles,gold,Mobile
357,david,52,male,39862,23/03/2020,51,LA,G,3
226,Charlie,86,male,70K,"Aug 01, 2018",390,Chicago,Platinum,2
945,Bob,,,32227,12/06/2023,126,newyork,Gold,Mobile
783,Alice,34,male,48265,06/04/2019,$120,newyork,Gold,Mobile
983,Eve,93,M,"30,000",19/05/2019,3230,New York,,In-Store
297,,78,F,41108,15/07/2019,32,newyork,Platinum,In-Store
204,,,,,03/09/2022,246,NYC,Gold,Online
832,david,18,f,,08/04/2019,424,newyork,G,Mobile
810,Charlie,46,f,"30,000",2021-13-40,313,Los Angeles,P,3
596,FRANK,,F,,15/05/2019,358,chicago,S,2
539,FRANK,35,male,78652,16/09/2020,12,newyork,P,In-Store
537,david,30,female,64436,02/02/2021,€100,New York,SILVER,2
198,Charlie,,female,67227,03/10/2022,2419,losangeles,S,1
538,alice,96,M,70K,25/12/2022,,losangeles,SILVER,In-Store
915,alice,19,female,70807,"Dec 18, 2021",6116,New York,SILVER,Online
431,alice,112,male,47370,24/06/2019,,Los Angeles,G,Mobile
970,Eve,31,female,"30,000",18/01/2023,367,Los Angeles,Gold,Online
940,alice,59,f,39975,02/01/2020,126,New York,S,In-Store
133,Alice,33,f,"30,000","Oct 03, 2018",3307,New York,SILVER,2
396,Bob,54,F,500000,09/12/2021,9550,New York,,1
75,,26,M,38693,31/03/2021,€100,New York,SILVER,1
889,alice,54,male,91714,22/02/2023,4495,Chicago,SILVER,In-Store
660,david,28,Male,85393,03/08/2018,186,Los Angeles,S,3
475,david,,male,79612,09/01/2022,314,LA,Silver,2
478,FRANK,,F,42245,22/03/2021,152,Chicago,,2
426,Alice,64,Male,41164,15/06/2020,$120,chicago,gold,Online
595,Alice,,,56715,13/05/2018,438,Los Angeles,gold,1
794,Eve,48,F,70K,07/07/2020,329,NYC,,In-Store
854,alice,,female,31695,03/09/2020,,New York,Gold,Online
418,alice,27,,43486,27/12/2019,252,New York,,1
774,Eve,120,male,1000000,"Jul 20, 2019",422,NYC,gold,Mobile
87,Alice,77,female,1000000,30/01/2022,425,NYC,,In-Store
163,Bob,56,M,-10000,02/10/2020,,LA,Platinum,2
114,,86,female,36248,15/04/2023,119,NYC,S,In-Store
428,Charlie,26,F,70K,17/03/2019,28,Chicago,S,In-Store
386,Eve,,F,67641,"Nov 28, 2021",180,New York,,Online
397,FRANK,61,F,72551,13/03/2021,88,New York,Silver,Mobile
657,,56,female,36906,"Jan 10, 2021",406,NYC,SILVER,Online
375,FRANK,,Male,1000000,12/06/2023,,Chicago,SILVER,1
334,Alice,,f,,04/01/2020,7607,newyork,S,1
410,,66,Male,70K,26/05/2018,360,Los Angeles,Platinum,2
880,Alice,,M,30943,04/02/2022,45,newyork,Platinum,In-Store
976,david,,f,70K,25/05/2019,€100,chicago,G,Online
481,FRANK,,F,,02/03/2018,461,Los Angeles,G,Mobile
46,Eve,44,M,1000000,11/11/2019,234,chicago,S,3
448,Bob,125,f,50k,06/04/2020,278,chicago,G,In-Store
344,,113,,"30,000",20/02/2020,182,New York,gold,2
88,alice,,f,52088,05/12/2019,225,Chicago,P,In-Store
465,Eve,66,,,29/12/2019,,New York,P,1
11,Bob,24,M,40258,"Dec 06, 2022",217,losangeles,Gold,1
490,Charlie,48,F,58097,"Jan 13, 2019",289,LA,S,2
429,Bob,,female,40736,"Apr 10, 2019",29,NYC,Platinum,In-Store
307,,44,,70K,20/07/2021,239,Chicago,Platinum,1
214,FRANK,,,49235,20/03/2022,311,chicago,Gold,Online
208,FRANK,,,80591,11/02/2018,,LA,Silver,1
877,FRANK,,male,50k,"May 02, 2018",377,Chicago,Platinum,In-Store
403,Charlie,70,F,81063,2021-13-40,466,Los Angeles,gold,In-Store
22,david,41,male,-10000,"Feb 27, 2020",486,New York,Platinum,Mobile
62,,139,male,,"Jan 28, 2023",,New York,G,Online
215,Alice,127,female,500000,12/05/2023,,New York,SILVER,In-Store
387,Alice,,f,43628,25/06/2021,290,LA,,Online
641,Alice,35,F,72028,"Mar 24, 2019",100,Los Angeles,Platinum,In-Store
667,Charlie,,F,46145,31/10/2021,419,Los Angeles,Gold,2
561,FRANK,35,F,63086,21/03/2021,205,Chicago,P,In-Store
951,alice,132,f,61587,17/12/2021,5881,NYC,Gold,2
488,alice,,male,99215,26/07/2022,478,NYC,SILVER,Online
587,Charlie,,f,500000,21/03/2018,286,Los Angeles,P,Mobile
581,Charlie,,female,500000,"Oct 01, 2019",179,chicago,G,2
545,FRANK,,Male,79582,30/10/2021,37,NYC,Platinum,Mobile
646,FRANK,28,F,91444,09/12/2018,€100,NYC,Platinum,Online
3,Charlie,92,f,81599,20/05/2021,370,NYC,Gold,In-Store
816,,,Male,47979,"Feb 28, 2023",211,losangeles,G,In-Store
440,Eve,62,male,94475,17/03/2023,239,NYC,Silver,Online
90,FRANK,42,,98784,18/04/2023,6497,losangeles,S,1
350,alice,27,male,28178,"May 15, 2018",50,LA,gold,Online
255,Eve,56,M,76375,17/10/2018,213,losangeles,S,3
456,alice,22,f,500000,02/10/2020,115,newyork,,2
138,Alice,,female,47720,"Mar 27, 2018",3994,LA,S,Online
217,FRANK,88,M,75433,02/03/2023,314,newyork,Gold,Online
764,FRANK,123,f,53039,07/02/2023,286,New York,gold,2
576,Bob,63,Male,50k,"Jul 06, 2018",471,Los Angeles,S,In-Store
758,,,f,38577,27/02/2021,64,LA,Silver,3
997,Eve,49,f,55901,10/08/2021,262,New York,Gold,In-Store
493,Alice,122,f,30709,05/10/2018,6070,NYC,gold,In-Store
512,alice,,male,79168,23/08/2019,351,losangeles,P,Mobile
383,Eve,,F,88783,12/02/2020,2666,Los Angeles,Silver,2
83,david,32,F,54006,03/10/2020,61,losangeles,gold,In-Store
696,Alice,-1,,27044,18/09/2020,61,Los Angeles,Platinum,1
836,alice,33,female,76168,"May 30, 2022",£90,LA,P,2
744,Charlie,60,Male,58915,02/12/2021,58,Chicago,gold,1
927,,91,M,46031,27/03/2018,1312,Chicago,S,Online
257,Charlie,,Male,74932,21/09/2019,178,New York,Platinum,2
270,david,18,,1000000,22/02/2022,370,chicago,Gold,Online
627,Alice,,Male,,"Apr 07, 2018",£90,losangeles,S,Online
485,Bob,139,female,77250,22/12/2019,37,Chicago,,Online
125,david,40,,94752,02/11/2021,3902,LA,P,3
428,Alice,39,,21301,09/12/2020,334,LA,Gold,Online
717,alice,43,M,,26/10/2021,217,LA,S,In-Store
177,FRANK,34,F,50k,22/07/2018,7077,Chicago,G,3
298,,,F,95823,02/01/2023,171,Chicago,G,2
749,Charlie,118,male,50k,30/05/2018,367,chicago,SILVER,3
526,,,M,61486,15/03/2021,359,newyork,SILVER,Mobile
682,david,,male,39727,21/02/2020,10,New York,gold,1
524,,103,female,500000,2021-13-40,351,NYC,Silver,Online
892,alice,54,Male,1000000,"May 08, 2019",103,New York,Silver,1
58,Alice,76,F,73265,09/03/2020,€100,newyork,S,In-Store
856,Charlie,,Male,88248,12/09/2022,6854,LA,SILVER,In-Store
743,david,19,Male,79055,18/10/2018,15,New York,P,Mobile
389,FRANK,7,f,78894,13/06/2019,450,newyork,SILVER,1
855,alice,,f,"30,000","Dec 25, 2021",398,NYC,Gold,3
388,,48,f,24782,"Dec 05, 2022",50,newyork,Platinum,3
978,FRANK,,f,44596,21/01/2018,66,newyork,SILVER,3
954,Charlie,,F,91576,"Feb 12, 2020",119,Los Angeles,S,Mobile
782,alice,53,F,98766,24/01/2019,474,chicago,Silver,3
656,FRANK,,M,48329,22/01/2018,418,LA,gold,1
425,FRANK,65,f,47494,21/04/2022,5253,New York,S,Online
953,Eve,35,F,95607,13/11/2021,£90,newyork,P,2
629,alice,38,,68530,23/08/2018,6567,Chicago,Gold,3
980,david,54,male,22122,09/06/2022,234,newyork,S,Mobile
695,david,38,F,60234,"Jan 04, 2021",32,New York,P,Mobile
291,Eve,65,Male,,"Feb 24, 2022",$120,losangeles,gold,2
663,Eve,51,Male,85422,04/01/2022,£90,NYC,gold,Mobile
902,david,31,M,70K,"Aug 10, 2019",442,chicago,,Online
511,Eve,148,Male,73790,20/06/2019,247,LA,,3
722,Eve,27,f,66165,19/03/2020,1811,losangeles,Platinum,1
724,david,,male,,10/02/2021,372,newyork,Platinum,2
961,alice,18,M,88572,27/11/2020,6999,chicago,SILVER,2
215,FRANK,,f,34860,12/08/2018,1459,Los Angeles,Platinum,In-Store
545,alice,,f,80138,03/09/2022,351,losangeles,Silver,In-Store
175,FRANK,35,F,68905,11/04/2022,34,Los Angeles,Platinum,Online
523,Eve,120,F,92450,"Jun 14, 2021",211,Chicago,S,Mobile
478,Eve,,F,50k,20/10/2018,500,LA,Platinum,Mobile
796,Bob,,Male,,26/03/2018,4542,newyork,gold,3
411,,98,Male,70012,"Jan 24, 2022",405,Los Angeles,,In-Store
859,,,female,77343,30/01/2018,114,losangeles,Silver,In-Store
120,FRANK,,f,70K,"May 01, 2023",2941,chicago,Silver,3
862,Charlie,34,male,50k,19/12/2019,152,New York,S,In-Store
401,Eve,122,f,33606,12/08/2021,74,New York,P,Online
116,Alice,38,F,22153,"Nov 10, 2018",459,LA,SILVER,1
675,Eve,43,male,70K,07/04/2019,229,NYC,,3
619,Bob,15,F,85064,19/11/2019,269,newyork,P,3
406,FRANK,146,,"30,000",21/06/2020,5656,NYC,Platinum,1
921,alice,130,M,78209,"May 17, 2021",46,newyork,,1
621,Eve,58,,,"Oct 21, 2018",,losangeles,Gold,2
505,alice,77,male,50k,03/11/2021,330,NYC,S,Online
611,david,117,male,70K,30/12/2020,2536,NYC,P,Mobile
840,david,,,47770,"Dec 14, 2018",344,Chicago,Gold,Mobile
745,Eve,85,Male,79589,21/10/2018,460,NYC,G,1
353,Eve,61,female,,2021-13-40,3855,newyork,Silver,Mobile
137,Charlie,29,Male,35007,30/04/2018,,losangeles,P,1
515,Bob,54,male,81548,03/09/2018,187,losangeles,P,3
415,david,64,M,65955,2021-13-40,475,New York,gold,Mobile
938,david,100,Male,1000000,15/08/2022,361,LA,,In-Store
962,Alice,,female,"30,000",13/08/2021,6578,Chicago,SILVER,1
852,david,27,f,20996,15/06/2021,33,NYC,Silver,Online
17,david,97,F,49351,13/03/2022,208,New York,Gold,3
346,Alice,,male,,"Jun 08, 2021",27,New York,gold,Online
756,Bob,70,Male,55076,27/07/2021,218,chicago,G,2
109,,,f,70K,15/01/2023,£90,newyork,G,Mobile
806,FRANK,2,,74357,"Dec 07, 2022",1213,Los Angeles,Gold,Mobile
520,alice,24,Male,50k,11/08/2019,1314,New York,S,In-Store
529,Bob,55,f,74336,"Mar 06, 2020",302,LA,Platinum,3
116,Charlie,14,M,22035,24/01/2020,492,Chicago,P,2
223,Alice,75,male,40103,07/09/2019,,Chicago,Silver,3
455,Charlie,,F,88021,20/04/2020,47,New York,Silver,Online
567,,55,M,70K,"Sep 14, 2018",,New York,Silver,Online
936,alice,19,male,42336,11/04/2020,377,NYC,G,3
189,alice,40,male,70K,01/08/2020,€100,newyork,P,1
278,david,,f,92841,06/03/2020,32,Los Angeles,Silver,1
173,Eve,59,Male,45252,30/10/2019,255,newyork,G,1
899,FRANK,62,f,"30,000",21/12/2020,,chicago,Silver,1
875,Eve,120,female,26760,30/12/2021,365,NYC,Platinum,3
984,Alice,67,male,70K,"Apr 26, 2023",3053,New York,SILVER,1
916,Bob,147,F,71172,27/01/2021,349,NYC,SILVER,Mobile
452,david,47,f,72837,21/09/2019,301,newyork,Gold,Online
109,Alice,76,Male,87800,21/08/2020,167,Los Angeles,G,Mobile
82,Charlie,,,77331,"Jul 15, 2020",7143,newyork,,In-Store
31,,43,f,33051,12/05/2023,20,Chicago,G,3
228,Charlie,28,,86093,"Mar 21, 2019",211,NYC,S,1
